unit,quantity,rate,gi_amount,from_party,to_party,consignment_id,created_at
20KG,74,220,16280,6,6,18,
20KG,37,220,8140,35,35,18,
20KG,143,220,31460,5,5,18,
20KG,335,220,73700,76,1,18,
20KG,42,220,9240,113,20,18,
20KG,36,220,7920,86,20,18,
20KG,96,220,21120,9,9,19,
20KG,98,220,21560,6,6,19,
20KG,50,220,11000,81,15,19,
20KG,79,220,17380,61,61,19,
20KG,51,220,11220,114,233,19,
20KG,58,220,12760,115,20,19,
20KG,104,220,22880,35,35,19,
20KG,488,220,107360,10,10,19,
20KG,70,220,15400,25,400,19,
10KG,21,110,2310,9,9,20,
10KG,100,110,11000,99,99,20,
10KG,46,110,5060,30,30,20,
10KG,26,110,2860,91,6,20,
10KG,20,110,2200,91,522,20,
10KG,185,110,20350,93,11,20,
10KG,167,110,18370,71,71,20,
10KG,63,110,6930,40,40,20,
10KG,53,110,5830,116,42,20,
10KG,111,110,12210,102,102,20,
10KG,63,110,6930,83,83,20,
10KG,205,110,22550,56,56,20,
10KG,205,110,22550,11,11,20,
10KG,54,110,5940,13,496,20,
10KG,73,110,8030,6,6,20,
10KG,166,110,18260,117,524,20,
10KG,56,110,6160,13,13,20,
10KG,32,110,3520,94,94,20,
10KG,25,110,2750,89,89,20,
10KG,35,110,3850,43,43,20,
10KG,57,110,6270,90,90,20,
10KG,47,110,5170,39,39,20,
10KG,49,110,5390,7,7,20,
10KG,61,110,6710,82,82,20,
10KG,380,110,41800,7,7,20,
10KG,61,110,6710,118,139,20,
10KG,27,110,2970,119,68,20,
10KG,56,110,6160,120,120,20,
10KG,1127,110,123970,7,7,21,
20KG,100,220,22000,35,35,22,
20KG,49,220,10780,2,2,22,
20KG,62,220,13640,5,5,22,
20KG,325,220,71500,10,10,22,
20KG,80,220,17600,25,400,22,
20KG,142,220,31240,121,523,22,
20KG,50,220,11000,72,233,22,
20KG,68,220,14960,72,72,22,
20KG,242,220,53240,72,21,22,
20KG,81,220,17820,34,34,22,
20KG,162,220,35640,6,6,22,
20KG,266,220,58520,12,12,23,
20KG,233,220,51260,46,46,23,
20KG,368,220,80960,75,20,23,
20KG,274,220,60280,16,16,23,
20KG,69,220,15180,122,122,23,
20KG,67,220,14740,112,20,23,
10KG,54,110,5940,104,104,24,
10KG,41,110,4510,105,105,24,
10KG,174,110,19140,11,11,24,
10KG,57,110,6270,30,30,24,
10KG,60,110,6600,99,99,24,
10KG,111,110,12210,11,11,24,
10KG,50,110,5500,6,6,24,
10KG,164,110,18040,71,71,24,
10KG,166,110,18260,71,71,24,
10KG,78,110,8580,43,43,24,
10KG,12,110,1320,67,67,24,
10KG,36,110,3960,9,9,24,
10KG,56,110,6160,87,87,24,
10KG,56,110,6160,70,70,24,
10KG,101,110,11110,123,21,24,
10KG,81,110,8910,82,82,24,
10KG,54,110,5940,83,83,24,
10KG,120,110,13200,40,40,24,
10KG,44,110,4840,116,42,24,
10KG,52,110,5720,27,27,24,
10KG,44,110,4840,124,496,24,
10KG,72,110,7920,125,83,24,
10KG,15,110,1650,35,35,24,
10KG,47,110,5170,126,7,24,
10KG,46,110,5060,39,39,24,
10KG,10,110,1100,70,70,24,
20KG,63,220,13860,9,9,24,
20KG,36,220,7920,29,29,24,
20KG,40,220,8800,72,233,24,
20KG,25,220,5500,127,525,24,
20KG,57,220,12540,128,20,24,
20KG,84,220,18480,11,45,24,
20KG,41,220,9020,129,20,24,
10KG,261,110,28710,77,8,25,
10KG,63,110,6930,130,526,25,
10KG,129,110,14190,12,12,25,
10KG,80,110,8800,90,90,25,
10KG,79,110,8690,13,13,25,
10KG,22,110,2420,106,106,25,
10KG,65,110,7150,124,496,25,
10KG,57,110,6270,63,63,25,
10KG,56,110,6160,54,54,25,
10KG,64,110,7040,11,11,25,
10KG,79,110,8690,83,83,25,
10KG,11,110,1210,5,5,25,
10KG,16,110,1760,9,9,25,
20KG,47,220,10340,129,20,25,
20KG,594,220,130680,3,3,26,
20KG,291,220,64020,76,1,26,
20KG,70,220,15400,95,1,26,
20KG,50,220,11000,131,20,26,
20KG,41,220,9020,86,20,26,
20KG,135,220,29700,81,15,26,
20KG,364,220,80080,10,10,27,
20KG,92,220,20240,9,9,27,
20KG,103,220,22660,5,5,27,
20KG,61,220,13420,35,35,27,
20KG,40,220,8800,132,132,27,
20KG,54,220,11880,133,133,27,
20KG,66,220,14520,2,521,27,
20KG,104,220,22880,134,20,27,
20KG,20,220,4400,72,21,27,
20KG,60,220,13200,31,31,27,
20KG,102,220,22440,2,141,27,
20KG,45,220,9900,72,142,27,
20KG,59,220,12980,72,233,27,
20KG,199,220,43780,76,1,28,
20KG,129,220,28380,95,1,28,
20KG,40,220,8800,33,33,28,
20KG,88,220,19360,131,20,28,
20KG,201,220,44220,25,20,28,
20KG,236,220,51920,16,16,28,
20KG,97,220,21340,49,49,28,
20KG,44,220,9680,134,20,28,
20KG,88,220,19360,17,17,28,
10KG,48,110,5280,135,54,29,
10KG,47,110,5170,135,197,29,
10KG,104,110,11440,7,7,29,
10KG,50,110,5500,7,7,29,
10KG,56,110,6160,13,13,29,
10KG,95,110,10450,90,90,29,
10KG,75,110,8250,83,83,29,
10KG,63,110,6930,82,82,29,
10KG,32,110,3520,126,7,29,
10KG,31,110,3410,39,39,29,
10KG,89,110,9790,136,136,29,
10KG,71,110,7810,7,7,29,
10KG,64,110,7040,30,30,29,
10KG,56,110,6160,99,99,29,
10KG,25,110,2750,137,137,29,
10KG,35,110,3850,138,138,29,
10KG,121,110,13310,93,11,29,
10KG,79,110,8690,117,524,29,
10KG,21,110,2310,1,1,29,
10KG,71,110,7810,139,139,29,
20KG,57,220,12540,87,87,29,
20KG,111,220,24420,140,20,29,
20KG,220,220,48400,34,34,29,
20KG,70,220,15400,133,133,29,
10KG,89,110,9790,104,104,30,
20KG,337,220,74140,10,10,30,
20KG,97,220,21340,132,132,30,
20KG,103,220,22660,141,141,30,
20KG,67,220,14740,2,521,30,
20KG,95,220,20900,5,5,30,
20KG,80,220,17600,35,35,30,
20KG,35,220,7700,142,142,30,
20KG,126,220,27720,121,523,30,
20KG,185,220,40700,81,15,30,
20KG,87,220,19140,142,21,30,
20KG,35,220,7700,142,142,31,
20KG,313,220,68860,6,6,31,
20KG,283,220,62260,75,25,31,
20KG,68,220,14960,143,510,31,
20KG,67,220,14740,144,20,31,
20KG,293,220,64460,76,1,31,
20KG,123,220,27060,16,16,31,
20KG,39,220,8580,113,20,31,
20KG,42,220,9240,145,20,31,
20KG,31,220,6820,131,20,32,
20KG,122,220,26840,122,122,32,
20KG,153,220,33660,9,9,32,
20KG,251,220,55220,16,16,32,
20KG,204,220,44880,146,20,32,
20KG,348,220,76560,76,1,32,
20KG,50,220,11000,113,20,32,
20KG,34,220,7480,115,20,32,
20KG,88,220,19360,129,20,33,
20KG,120,220,26400,141,141,33,
20KG,72,220,15840,2,124,33,
20KG,135,220,29700,17,17,33,
20KG,69,220,15180,81,15,33,
20KG,242,220,53240,10,10,33,
20KG,176,220,38720,147,174,33,
20KG,106,220,23320,147,147,33,
10KG,52,110,5720,71,71,33,
10KG,50,110,5500,11,11,33,
10KG,120,110,13200,1,1,33,
10KG,41,110,4510,139,139,33,
10KG,11,110,1210,9,9,33,
10KG,94,110,10340,89,89,33,
10KG,50,110,5500,24,24,33,
10KG,84,110,9240,40,40,33,
10KG,59,110,6490,104,104,34,
20KG,576,220,126720,147,20,34,
20KG,174,220,38280,35,35,34,
20KG,104,220,22880,132,132,34,
20KG,79,220,17380,5,5,34,
20KG,124,220,27280,121,523,34,
20KG,103,220,22660,72,21,35,
20KG,103,220,22660,5,5,35,
20KG,207,220,45540,134,20,35,
20KG,200,220,44000,147,20,35,
20KG,24,220,5280,141,141,35,
20KG,33,220,7260,2,521,35,
20KG,90,220,19800,132,132,35,
20KG,99,220,21780,34,34,35,
20KG,112,220,24640,35,35,35,
20KG,109,220,23980,148,20,35,
20KG,41,220,9020,72,21,36,
20KG,105,220,23100,9,9,36,
20KG,200,220,44000,49,49,36,
20KG,249,220,54780,75,25,36,
20KG,270,220,59400,149,15,36,
20KG,48,220,10560,150,527,36,
20KG,41,220,9020,143,510,36,
20KG,40,220,8800,144,20,36,
20KG,109,220,23980,76,1,36,
10KG,50,110,5500,63,63,36,
10KG,45,110,4950,151,151,36,
10KG,4,110,440,1,1,37,
10KG,147,110,16170,11,11,37,
10KG,98,110,10780,152,152,37,
10KG,59,110,6490,43,43,37,
10KG,42,110,4620,125,83,37,
10KG,15,110,1650,153,202,37,
10KG,9,110,990,154,207,37,
10KG,132,110,14520,83,83,37,
10KG,183,110,20130,155,412,37,
10KG,61,110,6710,82,82,37,
10KG,115,110,12650,147,174,37,
10KG,50,110,5500,70,70,37,
10KG,50,110,5500,71,71,37,
10KG,53,110,5830,11,11,37,
10KG,58,110,6380,7,7,37,
10KG,31,110,3410,34,34,37,
10KG,30,110,3300,30,30,38,
20KG,343,220,75460,17,17,38,
20KG,179,220,39380,5,5,38,
20KG,89,220,19580,2,521,38,
20KG,476,220,104720,14,20,38,
20KG,53,220,11660,156,14,39,
20KG,50,220,11000,72,233,39,
20KG,339,220,74580,10,10,39,
20KG,158,220,34760,35,35,39,
20KG,90,220,19800,134,20,39,
10KG,37,110,4070,43,43,39,
10KG,36,110,3960,157,157,39,
10KG,259,110,28490,93,11,39,
10KG,23,110,2530,5,5,39,
10KG,123,110,13530,39,39,39,
10KG,72,110,7920,110,110,39,
10KG,61,110,6710,82,82,39,
10KG,68,110,7480,26,26,39,
10KG,72,110,7920,70,70,39,
10KG,116,110,12760,11,11,39,
10KG,58,110,6380,152,152,39,
10KG,81,110,8910,40,528,39,
10KG,52,110,5720,83,83,39,
10KG,94,110,10340,126,7,39,
10KG,35,110,3850,30,30,40,
10KG,95,110,10450,11,11,40,
20KG,331,220,72820,6,6,40,
20KG,101,220,22220,19,19,40,
20KG,249,220,54780,16,16,40,
20KG,31,220,6820,4,32,40,
20KG,47,220,10340,121,523,40,
20KG,39,220,8580,113,20,40,
20KG,230,220,50600,76,1,40,
20KG,142,220,31240,49,49,40,
10KG,237,110,26070,11,11,41,
10KG,10,110,1100,1,1,41,
20KG,684,220,150480,3,3,41,
20KG,133,220,29260,6,6,41,
20KG,170,220,37400,34,34,41,
20KG,110,220,24200,49,49,41,
20KG,57,220,12540,150,527,42,
20KG,35,220,7700,143,510,42,
10KG,305,110,33550,158,18,42,
10KG,63,110,6930,159,63,42,
10KG,65,110,7150,151,151,42,
10KG,163,110,17930,77,8,42,
10KG,71,110,7810,160,74,42,
10KG,52,110,5720,40,528,42,
10KG,86,110,9460,24,24,42,
10KG,195,110,21450,155,412,42,
10KG,46,110,5060,161,28,42,
10KG,61,110,6710,162,39,42,
10KG,60,110,6600,162,39,42,
10KG,278,110,30580,11,11,42,
10KG,122,110,13420,30,30,42,
10KG,102,110,11220,164,99,42,
10KG,51,110,5610,89,89,42,
10KG,51,110,5610,125,83,42,
10KG,50,110,5500,43,43,42,
10KG,34,110,3740,165,202,42,
10KG,64,110,7040,147,174,42,
10KG,107,110,11770,166,529,42,
10KG,59,110,6490,147,174,42,
10KG,33,110,3630,167,63,42,
10KG,80,110,8800,168,168,42,
10KG,46,110,5060,137,137,42,
10KG,113,110,12430,83,83,42,
10KG,89,110,9790,70,70,42,
10KG,33,110,3630,169,54,42,
10KG,54,110,5940,110,110,43,
10KG,52,110,5720,11,11,43,
10KG,60,110,6600,96,96,43,
10KG,44,110,4840,26,26,43,
20KG,267,220,58740,76,1,43,
20KG,217,220,47740,16,16,43,
20KG,154,220,33880,170,20,43,
20KG,158,220,34760,3,3,43,
20KG,101,220,22220,159,33,43,
20KG,87,220,19140,49,49,44,
20KG,63,220,13860,19,19,44,
20KG,87,220,19140,121,523,44,
20KG,196,220,43120,76,1,44,
20KG,126,220,27720,5,5,44,
20KG,137,220,30140,171,171,44,
20KG,90,220,19800,2,521,44,
20KG,185,220,40700,35,35,44,
20KG,399,220,87780,10,10,45,
20KG,104,220,22880,128,37,45,
20KG,41,220,9020,81,15,45,
20KG,98,220,21560,9,9,45,
20KG,172,220,37840,19,19,45,
20KG,162,220,35640,17,17,45,
20KG,164,220,36080,134,134,45,
20KG,64,220,14080,35,35,45,
20KG,31,220,6820,96,96,45,
20KG,82,220,18040,9,9,45,
20KG,51,220,11220,171,171,45,
20KG,67,220,14740,5,5,45,
20KG,124,220,27280,75,25,45,
20KG,159,220,34980,81,15,46,
20KG,64,220,14080,148,20,46,
20KG,67,220,14740,72,21,46,
20KG,40,220,8800,142,142,46,
10KG,183,110,20130,160,74,46,
10KG,101,110,11110,172,340,46,
10KG,47,110,5170,139,139,46,
10KG,84,110,9240,1,1,46,
10KG,89,110,9790,13,13,46,
10KG,89,110,9790,90,90,46,
10KG,50,110,5500,7,7,46,
10KG,64,110,7040,11,11,46,
10KG,70,110,7700,40,40,46,
10KG,48,110,5280,26,26,46,
10KG,31,110,3410,82,82,46,
10KG,112,110,12320,26,26,46,
10KG,47,110,5170,89,89,46,
10KG,46,110,5060,125,83,46,
10KG,64,110,7040,104,104,46,
10KG,67,110,7370,70,70,46,
10KG,66,110,7260,110,110,46,
10KG,20,110,2200,173,173,46,
10KG,22,110,2420,174,174,46,
10KG,45,110,4950,63,63,46,
10KG,257,110,28270,77,8,46,
10KG,68,110,7480,161,28,46,
10KG,75,110,8250,24,24,46,
10KG,40,110,4400,83,83,46,
10KG,44,110,4840,71,71,46,
10KG,71,110,7810,99,99,46,
10KG,67,110,7370,30,30,46,
10KG,44,110,4840,54,54,46,
10KG,37,110,4070,5,5,46,
10KG,62,110,6820,175,11,46,
10KG,3,110,330,176,176,46,
10KG,44,110,4840,9,9,46,
10KG,72,110,7920,177,198,46,
10KG,89,110,9790,93,11,46,
10KG,94,110,10340,161,161,46,
10KG,165,110,18150,178,51,47,
10KG,135,110,14850,178,51,47,
10KG,39,110,4290,178,51,47,
10KG,132,110,14520,178,530,47,
20KG,151,220,33220,75,25,47,
20KG,245,220,53900,34,15,47,
20KG,218,220,47960,16,16,47,
20KG,163,220,35860,112,20,47,
20KG,138,220,30360,72,21,48,
20KG,50,220,11000,29,29,48,
20KG,53,220,11660,179,20,48,
20KG,85,220,18700,137,20,48,
20KG,181,220,39820,180,132,48,
20KG,31,220,6820,113,20,48,
20KG,55,220,12100,156,20,48,
20KG,26,220,5720,143,510,48,
20KG,25,220,5500,96,96,48,
20KG,40,220,8800,36,36,48,
20KG,30,220,6600,85,20,48,
20KG,83,220,18260,1,1,48,
20KG,183,220,40260,181,20,48,
20KG,66,220,14520,16,16,48,
20KG,93,220,20460,9,9,48,
20KG,63,220,13860,33,33,48,
10KG,227,110,24970,130,526,48,
10KG,100,110,11000,172,340,48,
10KG,91,110,10010,178,530,49,
10KG,31,110,3410,178,530,49,
10KG,92,110,10120,178,51,49,
10KG,54,110,5940,178,51,49,
20KG,89,220,19580,2,521,49,
20KG,40,220,8800,182,182,49,
20KG,234,220,51480,17,17,49,
20KG,205,220,45100,6,6,49,
20KG,142,220,31240,35,35,50,
20KG,311,220,68420,10,10,50,
20KG,151,220,33220,72,21,50,
20KG,75,220,16500,37,37,50,
10KG,612,110,67320,7,7,50,
10KG,77,110,8470,89,89,50,
10KG,41,110,4510,7,7,50,
10KG,41,110,4510,82,82,50,
10KG,119,110,13090,11,11,50,
10KG,83,110,9130,24,24,50,
10KG,19,110,2090,183,531,50,
10KG,39,110,4290,183,531,50,
10KG,64,110,7040,184,43,50,
10KG,4,110,440,9,9,50,
10KG,46,110,5060,110,110,50,
10KG,46,110,5060,70,70,50,
10KG,82,110,9020,185,532,50,
10KG,125,110,13750,185,532,50,
10KG,104,110,11440,123,21,50,
10KG,48,110,5280,104,104,50,
10KG,114,110,12540,11,11,50,
10KG,52,110,5720,152,152,50,
10KG,33,110,3630,78,533,50,
10KG,12,110,1320,186,534,50,
10KG,103,110,11330,11,11,50,
10KG,105,110,11550,40,40,50,
10KG,51,110,5610,82,82,50,
10KG,74,110,8140,69,39,50,
10KG,54,110,5940,136,136,50,
10KG,50,110,5500,187,83,50,
10KG,50,110,5500,188,463,50,
10KG,57,110,6270,152,152,50,
10KG,87,110,9570,83,83,50,
10KG,30,110,3300,189,189,50,
10KG,54,110,5940,13,13,51,
10KG,39,110,4290,90,90,51,
10KG,31,110,3410,137,137,51,
10KG,54,110,5940,161,28,51,
10KG,80,110,8800,26,26,51,
10KG,95,110,10450,26,26,51,
